"IDalimentos","Categoria","Nombre","Unidades","Cantidad","imagen","fecha de vencimiento","NombreCategoria","Precio","Total","Agregar Cantidad","Fecha","Descontar cant de ventas?","Notificar a whatsapp","apartir de cantidad","Enviar si o no","Disponible","Contador","Image Url","Llevar control en caja","Contador 2","imagencard","createdAt","updatedAt"
"156f0c2d","4ff5b09a","Palillo el sol","PAQUETES X100",7,"",NULL,NULL,"$700.00","$4,900.00",NULL,"2025-12-22","NO","NO",NULL,"NO ENVIAR","Disponible: 6",NULL,NULL,"NO",NULL,"",NULL,NULL
"19a03ad9","d30a10d9","Extra shot Whisky 500ml","BOLSA X500mL",2,"INSUMOS_Images/19a03ad9.imagen.140649.jpg",NULL,NULL,"$15,000.00","$30,000.00",1,"2025-02-11","NO","NO",2,"ENVIAR","Disponible: 2",3,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=INSUMOS_Images/19a03ad9.imagen.140649.jpg",NULL,NULL,NULL,NULL,NULL
"1cdc89bf","0d04f633","Frutal de mango biche","BOLSA DE 3100 GR",3,"",NULL,NULL,"$31,750.00","$95,250.00",NULL,"2025-02-28","NO","NO",1,"ENVIAR","Disponible: 0",NULL,"","NO",9,NULL,NULL,NULL
"1d60221c","d30a10d9","Extra shot Ginebra 500ml","BOLSA X500mL",2,"",NULL,NULL,"$15,000.00","$30,000.00",NULL,"2025-02-11","NO","NO",NULL,"NO ENVIAR","Disponible: 2",2,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=",NULL,NULL,NULL,NULL,NULL
"1dd4f975","0d04f633","Cereza","TARRO 6L",26,"",NULL,NULL,"$28,000.00","$728,000.00",NULL,"2025-07-26","NO","NO",2,"NO ENVIAR","Disponible: 20",NULL,NULL,"NO",NULL,NULL,NULL,NULL
"1f077d1a","d30a10d9","Adicional de dulces","1 Paquete",223,"",NULL,NULL,"$2,000.00","$446,000.00",1,"2026-01-09","SI","NO",NULL,"NO ENVIAR","Disponible: 0",12,NULL,"SI",11,"https://www.appsheet.com/image/getimageurl?appName=QHuboMorv21-7868274&tableName=INSUMOS&fileName=IMAGENES%2F1f077d1a_20250928_132833.png",NULL,NULL
"20475d71","0d04f632","Nerds alcohol","TARRO 6L",114,"",NULL,NULL,"$32,000.00","$3,648,000.00",4,"2026-01-08","NO","SI",2,"NO ENVIAR","Disponible: 14",9,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=","NO",39,"https://www.appsheet.com/image/getimageurl?appName=QHuboMorv21-7868274&tableName=INSUMOS&fileName=IMAGENES%2F20475d71_20250926_133213.png",NULL,NULL
"20475d72","0d04f632","Margarita Tahiti alcohol","TARRO 6L",0,"",NULL,NULL,"$32,000.00","$0.00",4,"2025-02-11","NO","NO",NULL,"NO ENVIAR","Disponible: 0",1,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=",NULL,NULL,NULL,NULL,NULL
"20475d73","0d04f632","Crema de coco alcohol","TARRO 6L",0,"",NULL,NULL,"$55,000.00","$0.00",NULL,"2025-02-11","NO","NO",NULL,"NO ENVIAR","Disponible: 0",1,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=",NULL,1,NULL,NULL,NULL
"20475d74","0d04f632","Crema de fresa","TARRO 6L",0,"",NULL,NULL,"$55,000.00","$0.00",NULL,"2025-02-11","NO","NO",NULL,"NO ENVIAR","Disponible: 0",1,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=",NULL,1,NULL,NULL,NULL
"20475d75","0d04f632","Summer Fantasy alcohol","TARRO 6L",8,"",NULL,NULL,"$32,000.00","$256,000.00",4,"2025-05-14","NO","NO",NULL,"NO ENVIAR","Disponible: 0",9,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=",NULL,4,NULL,NULL,NULL
